epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.477466,0.88241,2.52058,1.24173,0.90897,0.80421,0.93265,0.74681,1.19174,0.83792,1.13555,0,0,0
2,0.730619,1.06889,2.54159,1.3912,0.88295,0.81019,0.93182,0.7414,1.19843,0.85207,1.13862,1.1311e-06,1.1311e-06,1.1311e-06
3,0.97433,1.33259,3.38053,1.59425,0.86529,0.8135,0.93146,0.74062,1.20324,0.86512,1.14071,2.14438e-06,2.14438e-06,2.14438e-06
4,1.23464,0.85323,1.9192,1.17479,0.86556,0.81383,0.9179,0.74251,1.207,0.87811,1.14389,3.03986e-06,3.03986e-06,3.03986e-06
5,1.66746,1.33614,2.22857,1.63534,0.84617,0.81611,0.9302,0.73916,1.20928,0.89178,1.1451,3.81752e-06,3.81752e-06,3.81752e-06
6,2.38117,0.79625,1.44313,1.21921,0.76808,0.83333,0.9163,0.73536,1.21116,0.90072,1.14904,4.47737e-06,4.47737e-06,4.47737e-06
7,2.75522,1.34692,2.84253,1.56107,0.76254,0.83333,0.91471,0.66627,1.21853,0.90228,1.15192,5.01942e-06,5.01942e-06,5.01942e-06
8,3.1388,1.43137,4.01338,1.81729,0.85734,0.81452,0.91412,0.66784,1.23055,0.91635,1.16048,5.44365e-06,5.44365e-06,5.44365e-06
9,3.54812,1.18197,2.32569,1.35769,0.86107,0.81405,0.91413,0.66789,1.23258,0.916,1.15942,5.75008e-06,5.75008e-06,5.75008e-06
10,3.93897,1.20974,1.99577,1.5542,0.86353,0.8135,0.91379,0.66764,1.23267,0.94354,1.16096,5.9387e-06,5.9387e-06,5.9387e-06
11,5.97755,0.76798,0.98843,1.0901,0.83944,0.8653,0.95491,0.66133,1.24444,0.95901,1.16447,6.0095e-06,6.0095e-06,6.0095e-06
12,6.4251,0.6939,0.75233,1.08641,0.82758,0.87496,0.95458,0.66086,1.26017,0.97991,1.16997,5.9625e-06,5.9625e-06,5.9625e-06
13,6.84354,0.98566,1.65321,1.16559,0.82979,0.88483,0.95996,0.64693,1.26777,0.99199,1.17721,5.79768e-06,5.79768e-06,5.79768e-06
14,7.24298,0.7184,0.88243,1.10356,0.8333,0.89354,0.9592,0.64968,1.27137,1.01013,1.17789,5.51505e-06,5.51505e-06,5.51505e-06
15,7.64486,0.66105,0.74203,1.04937,0.73652,0.91667,0.9293,0.64861,1.28495,1.03686,1.18613,5.11462e-06,5.11462e-06,5.11462e-06
16,8.03267,0.65534,1.28337,1.12574,0.7387,0.91667,0.92959,0.64455,1.29275,1.04133,1.1921,4.59638e-06,4.59638e-06,4.59638e-06
17,8.41428,0.78986,1.13769,1.18674,0.86062,0.89179,0.95816,0.63763,1.29766,1.04599,1.19723,3.96032e-06,3.96032e-06,3.96032e-06
18,8.77669,0.977,1.69696,1.13399,0.86062,0.89179,0.95816,0.63763,1.29766,1.04599,1.19723,3.20646e-06,3.20646e-06,3.20646e-06
19,9.2503,0.60592,0.60266,0.9839,0.86627,0.90292,0.96004,0.64348,1.29971,1.05762,1.20935,2.33478e-06,2.33478e-06,2.33478e-06
20,9.63421,0.85058,1.07561,1.18075,0.86627,0.90292,0.96004,0.64348,1.29971,1.05762,1.20935,1.3453e-06,1.3453e-06,1.3453e-06
